Customer Name,Model,Color,Payment Mode,Delivery Date,Amount
Romona Heaslip,Taurus,Aquamarine,Debit Card,"07-11-2015",8529.22
Clare Batterton,Sparrow,Pink,Cash On Delivery,"07-13-2016",17866.19
Eamon Traise,Grand Cherokee,Blue,Net Banking,"09-04-2015",13853.09
Julius Gorner,GTO,Aquamarine,Credit Card,"12-15-2017",2338.74
Jenna Schoolfield,LX,Yellow,Credit Card,"10-08-2014",9578.45
Marylynne Harring,Catera,Green,Cash On Delivery,"07-01-2017",19141.62
Vilhelmina Leipelt,7 Series,Goldenrod,Credit Card,"12-20-2015",6543.30
Barby Heisler,Corvette,Red,Credit Card,"11-24-2014",13035.06
Karyn Boik,Regal,Indigo,Debit Card,"05-12-2014",18488.80
Jeanette Pamplin,S4,Fuscia,Net Banking,"12-30-2014",12317.04
Cristi Espinos,TL,Aquamarine,Credit Card,"12-18-2013",6230.13
Issy Humm,Club Wagon,Pink,Cash On Delivery,"02-02-2015",9709.49
Tuesday Fautly,V8 Vantage,Crimson,Debit Card,"11-19-2014",9766.10
Rosemaria Thomann,Caravan,Violet,Net Banking,"02-08-2014",7685.49
Lyell Fuentez,Bravada,Violet,Debit Card,"08-05-2016",18012.45
Raynell Layne,Colorado,Pink,Credit Card,"05-30-2016",2785.49
Raye Whines,4Runner,Red,Debit Card,"12-10-2016",9967.74
Virgina Aharoni,TSX,Pink,Cash On Delivery,"10-23-2014",5584.33
Peta Cheshir,Pathfinder,Red,Net Banking,"12-24-2015",5286.53
Jule Urion,Charger,Violet,Debit Card,"11-20-2013",13511.91
Lew Gilyatt,Bonneville,Crimson,Credit Card,"11-19-2013",6498.19
Jobey Fortun,B-Series,Blue,Net Banking,"10-30-2014",10359.67
Blondie Crump,Voyager,Turquoise,Credit Card,"04-06-2018",8118.39
Florentia Binns,Grand Prix,Orange,Cash On Delivery,"10-13-2016",10204.37
Jaquelin Galtone,Sunbird,Red,Net Banking,"10-22-2013",6528.06
Hakeem Easseby,Mirage,Crimson,Debit Card,"09-12-2014",5619.25
Nickolaus Gidman,XK,Orange,Debit Card,"05-12-2016",5091.43
Jenine Iglesia,Accord,Orange,Debit Card,"09-03-2018",14566.08
Fax Witherspoon,Range Rover Sport,Orange,Credit Card,"02-22-2018",5284.87
